name,url,Precio/0/name,Precio/1/name
Aceite refinado de girasol Diasol botella 1 l,https://www.dia.es/aceites-salsas-y-especias/aceites/p/101,"1,49 €","(1,49 €/LITRO)"
Aceite refinado de girasol Diasol garrafa 5 l,https://www.dia.es/aceites-salsas-y-especias/aceites/p/49894,"6,99 €","(1,40 €/LITRO)"
Aceite de orujo de oliva La Almazara del Olivar de Dia botella 1 l,https://www.dia.es/aceites-salsas-y-especias/aceites/p/12668,"5,29 €","(5,29 €/LITRO)"
Aceite de oliva virgen extra La Almazara del Olivar de Dia botella 1 l,https://www.dia.es/aceites-salsas-y-especias/aceites/p/112529,"9,90 €","(9,90 €/LITRO)"
Aceite de oliva suave La Almazara del Olivar de Dia botella 1 l,https://www.dia.es/aceites-salsas-y-especias/aceites/p/104,"8,99 €","(8,99 €/LITRO)"
Aceite de oliva virgen extra La Almazara del Olivar de Dia garrafa 3 l,https://www.dia.es/aceites-salsas-y-especias/aceites/p/266129,"29,55 €","(9,85 €/LITRO)"
Aceite de oliva virgen La Almazara del Olivar de Dia botella 1 l,https://www.dia.es/aceites-salsas-y-especias/aceites/p/216284,"9,55 €","(9,55 €/LITRO)"
Aceite de oliva virgen extra La Almazara del Olivar de Dia botella 750 ml,https://www.dia.es/aceites-salsas-y-especias/aceites/p/12360,"8,49 €","(11,32 €/LITRO)"
Aceite de girasol Koipe botella 1 l,https://www.dia.es/aceites-salsas-y-especias/aceites/p/193,"2,59 €","(2,59 €/LITRO)"
Aceite de oliva virgen La Almazara del Olivar de Dia garrafa 3 l,https://www.dia.es/aceites-salsas-y-especias/aceites/p/227121,"28,50 €","(9,50 €/LITRO)"
