"|,""|__name"",""|__url"",""|__Precio__name"""
"Aceites,""Aceite de oliva virgen extra La Almazara del Olivar garrafa 3 l"",""https://www.dia.es/aceites-salsas-y-especias/aceites/p/266129"",""29,55 €"""
","""","""",""(9,85 €/LITRO)"""
",""Aceite de oliva suave La Almazara del Olivar garrafa 5 l"",""https://www.dia.es/aceites-salsas-y-especias/aceites/p/49895"",""46,00 €"""
","""","""",""(9,20 €/LITRO)"""
",""Aceite de oliva intenso La Almazara del Olivar garrafa 5 l"",""https://www.dia.es/aceites-salsas-y-especias/aceites/p/107364"",""46,00 €"""
","""","""",""(9,20 €/LITRO)"""
",""Aceite de oliva suave La Almazara del Olivar botella 1 l"",""https://www.dia.es/aceites-salsas-y-especias/aceites/p/104"",""9,25 €"""
","""","""",""(9,25 €/LITRO)"""
",""Aceite refinado de girasol Diasol botella 1 l"",""https://www.dia.es/aceites-salsas-y-especias/aceites/p/101"",""1,55 €"""
","""","""",""(1,55 €/LITRO)"""
",""Aceite de orujo de oliva La Almazara del Olivar botella 1 l"",""https://www.dia.es/aceites-salsas-y-especias/aceites/p/12668"",""5,19 €"""
","""","""",""(5,19 €/LITRO)"""
",""Aceite de oliva virgen La Almazara del Olivar botella 1 l"",""https://www.dia.es/aceites-salsas-y-especias/aceites/p/216284"",""9,55 €"""
","""","""",""(9,55 €/LITRO)"""
",""Aceite de oliva suave Carbonell botella 1 l"",""https://www.dia.es/aceites-salsas-y-especias/aceites/p/100"",""13,89 €"""
","""","""",""(13,89 €/LITRO)"""
",""Aceite de oliva suave La española botella 1 l"",""https://www.dia.es/aceites-salsas-y-especias/aceites/p/1548"",""13,45 €"""
","""","""",""(13,45 €/LITRO)"""
",""Aceite de oliva virgen extra Carbonell botella 750 ml"",""https://www.dia.es/aceites-salsas-y-especias/aceites/p/18013"",""10,89 €"""
","""","""",""(14,52 €/LITRO)"""
"Vinagre_y_alineos,""Vinagre de vino blanco Aliña tu Dia botella 1 l"",""https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/422"",""0,75 €"""
","""","""",""(0,75 €/LITRO)"""
",""Vinagre balsámico de módena Selección Mundial botella 500 ml"",""https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/106144"",""2,39 €"""
","""","""",""(4,78 €/LITRO)"""
",""Crema de vinagre de módena Aliña tu Dia botella 250 ml"",""https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/107321"",""1,99 €"""
","""","""",""(7,96 €/LITRO)"""
",""Vinagre de manzana Aliña tu Dia botella 1 l"",""https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/84060"",""0,90 €"""
","""","""",""(0,90 €/LITRO)"""
",""Vinagre de jerez reserva dop Delicias de Dia botella 250 ml"",""https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/273811"",""1,99 €"""
","""","""",""(7,96 €/LITRO)"""
",""Crema vinagre de módena sin azúcares añadidos Vulpi botella 400 ml"",""https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/283349"",""1,79 €"""
","""","""",""(4,48 €/LITRO)"""
",""Aderezo de limón Aliña tu Dia botella 50 cl"",""https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/40166"",""0,99 €"""
","""","""",""(1,98 €/LITRO)"""
