Categoría,Nombre,Cantidad,Suma de Precio Inicio(€),Suma de Precio Oferta(€),Cantidad del precio,Supermercado,Fecha
Melon_y_sandia,1/4 Sandía baja en semillas,"1/4 Pieza 1,53 kg aprox.",3.5,,ud.,Mercadona,2024-03-11 00:00:00
Verduras_al_vapor,3 Vegetales para microondas,Paquete 300 g,1.64,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_girasol_semillas_y_maiz,Aceite de coco virgen Hacendado,Bote 450 ml,4.4,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_girasol_semillas_y_maiz,"Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,1.45,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_girasol_semillas_y_maiz,"Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,6.95,6.75,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_oliva,"Aceite de oliva 0,4º Hacendado",Botella 1 L,9.25,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_oliva,Aceite de oliva 1º Hacendado,Botella 1 L,9.25,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_oliva,Aceite de oliva intenso Hacendado,Garrafa 3 L,27.6,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_oliva,Aceite de oliva suave Hacendado,Garrafa 3 L,27.6,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_oliva,Aceite de oliva virgen extra Hacendado,Botella 1 L,9.9,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_oliva,Aceite de oliva virgen extra Hacendado,Garrafa 3 L,29.55,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_oliva,Aceite de oliva virgen extra Hacendado,Spray 200 ml,3.3,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_oliva,Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,8.1,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_oliva,Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,7.85,,ud.,Mercadona,2024-03-11 00:00:00
Aceite_de_oliva,Aceite de oliva virgen Hacendado,Botella 1 L,9.55,,ud.,Mercadona,2024-03-11 00:00:00
