ID_MERCADONA;ID_DIA;DESCRIPCIÓN
1/4 Sandía baja en semillas-1/4 Pieza 1,53 kg aprox.;;1/4 Sandía baja en semillas-1/4 Pieza 1,53 kg aprox.
3 Vegetales para microondas-Paquete 300 g;;3 Vegetales para microondas-Paquete 300 g
Aceite de coco virgen Hacendado-Bote 450 ml;;Aceite de coco virgen Hacendado-Bote 450 ml
Aceite de girasol refinado 0,2º Hacendado-Botella 1 L;Aceite refinado de girasol Diasol botella 1 l;Aceite de girasol refinado 0,2º Hacendado-Botella 1 L
Aceite de girasol refinado 0,2º Hacendado-Garrafa 5 L;;Aceite de girasol refinado 0,2º Hacendado-Garrafa 5 L
Aceite de girasol refinado 0-2º Hacendado-Botella 1 L;Aceite refinado de girasol Diasol botella 1 l;Aceite de girasol refinado 0-2º Hacendado-Botella 1 L
Aceite de girasol refinado 0-2º Hacendado-Garrafa 5 L;;Aceite de girasol refinado 0-2º Hacendado-Garrafa 5 L
Aceite de oliva 0,4º Hacendado-Botella 1 L;;Aceite de oliva 0,4º Hacendado-Botella 1 L
Aceite de oliva 0-4º Hacendado-Botella 1 L;;Aceite de oliva 0-4º Hacendado-Botella 1 L
Aceite de oliva 1º Hacendado-Botella 1 L;;Aceite de oliva 1º Hacendado-Botella 1 L
Aceite de oliva intenso Hacendado-Garrafa 3 L;Aceite de oliva intenso La Almazara del Olivar garrafa 5 l;Aceite de oliva intenso Hacendado-Garrafa 3 L
Aceite de oliva suave Hacendado-Garrafa 3 L;;Aceite de oliva suave Hacendado-Garrafa 3 L
Aceite de oliva- vinagre y sal Merry-15 monodosis x 10 ml;;Aceite de oliva- vinagre y sal Merry-15 monodosis x 10 ml
Aceite de oliva virgen extra Hacendado Gran Selección-Botella 750 ml;Aceite de oliva virgen extra Carbonell botella 750 ml;Aceite de oliva virgen extra Hacendado Gran Selección-Botella 750 ml
Aceite de oliva virgen extra Hacendado-Botella 1 L;;Aceite de oliva virgen extra Hacendado-Botella 1 L
Aceite de oliva virgen extra Hacendado-Garrafa 3 L;Aceite de oliva virgen extra La Almazara del Olivar garrafa 3 l;Aceite de oliva virgen extra Hacendado-Garrafa 3 L
Aceite de oliva virgen extra Hacendado-Spray 200 ml;;Aceite de oliva virgen extra Hacendado-Spray 200 ml
Aceite de oliva virgen extra Picual Casa Juncal-Botella 500 ml;;Aceite de oliva virgen extra Picual Casa Juncal-Botella 500 ml
Aceite de oliva virgen Hacendado-Botella 1 L;Aceite de oliva virgen La Almazara del Olivar botella 1 l;Aceite de oliva virgen Hacendado-Botella 1 L
Aceite de oliva virgen Hacendado-Garrafa 3 L;;Aceite de oliva virgen Hacendado-Garrafa 3 L
Aceite de oliva, vinagre y sal Merry-15 monodosis x 10 ml;;Aceite de oliva, vinagre y sal Merry-15 monodosis x 10 ml
Acelgas cortadas-Paquete 300 g;;Acelgas cortadas-Paquete 300 g
Acelgas-Paquete 800 g;Acelga bolsa 750 g;Acelgas-Paquete 800 g
Agua de coco Chaokoh 100% natural-Brick 1 L;;Agua de coco Chaokoh 100% natural-Brick 1 L
Agua de soda con sifón La Casa-Botella 1,5 L;;Agua de soda con sifón La Casa-Botella 1,5 L
Agua mineral con gas grande Aguadoy-6 botellas x 1,5 L;;Agua mineral con gas grande Aguadoy-6 botellas x 1,5 L
Agua mineral con gas grande Aguadoy-Botella 1,5 L;Agua mineral con gas Dia botella 1.5 l;Agua mineral con gas grande Aguadoy-Botella 1,5 L
Agua mineral con gas grande Vichy Catalan-Botella 1 L;;Agua mineral con gas grande Vichy Catalan-Botella 1 L
Agua mineral con gas pequeña Aguadoy-6 botellas x 500 ml;;Agua mineral con gas pequeña Aguadoy-6 botellas x 500 ml
Agua mineral con gas pequeña Aguadoy-Botella 500 ml;Agua mineral con gas Dia botella 50 cl;Agua mineral con gas pequeña Aguadoy-Botella 500 ml
Agua mineral con gas pequeña Vichy Catalan-6 botellas x 300 ml;;Agua mineral con gas pequeña Vichy Catalan-6 botellas x 300 ml
Agua mineral grande Aguadoy-6 botellas x 1,5 L;;Agua mineral grande Aguadoy-6 botellas x 1,5 L
Agua mineral grande Aguadoy-Botella 1,5 L;Agua mineral natural Dia botella 1.5 l;Agua mineral grande Aguadoy-Botella 1,5 L
Agua mineral grande Aguadoy-Garrafa 6 L;Agua mineral natural Dia garrafa 5 l;Agua mineral grande Aguadoy-Garrafa 6 L
Agua mineral grande Aguadoy-Garrafa 8 L;;Agua mineral grande Aguadoy-Garrafa 8 L
Agua mineral grande Fuente Dehesa-6 botellas x 1,5 L;;Agua mineral grande Fuente Dehesa-6 botellas x 1,5 L
Agua mineral grande Fuente Dehesa-Botella 1,5 L;Agua mineral natural Font Vella botella 1.5 l;Agua mineral grande Fuente Dehesa-Botella 1,5 L
Agua mineral grande Fuente Dehesa-Garrafa 6 L;Agua mineral natural Font Vella garrafa 6.25 l;Agua mineral grande Fuente Dehesa-Garrafa 6 L
